日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年06月25日23点数据,专家回应很多人不敢吃海鲜了,357801,软新闻-休闲,,回应,,,
2020年05月20日23点数据,北京21家房产中介被查处,323621,社会热点-消费者权益,,,,,
2019年11月20日11点数据,我沉迷奶茶的原因,197598,软新闻-休闲,,,,,
2020年04月11日11点数据,罗永浩直播人数暴跌八成,453970,软新闻-娱乐圈,,,,,
2020年01月17日23点数据,姜子牙终极预告,270814,软新闻-娱乐圈,,,,,
2020年09月12日11点数据,台湾的谐音梗,157224,软新闻-休闲,,,,,
2020年08月17日23点数据,THE9舞台全是远景,1058098,软新闻-娱乐圈,,,,,
2019年12月26日23点数据,罗槟栗娜,499066,软新闻-娱乐圈,,,,,
2020年08月23日23点数据,逝者家属感谢救人无效遭恶评的医学生,196505,社会热点-社会热点,,,,,
2020年01月23日11点数据,北京新增4例新型肺炎病例,160929,社会热点-趋势,1,,,,
2020年04月06日23点数据,娃娃脸的女生能有多可爱,654535,软新闻-休闲,,,,,
2020年09月20日11点数据,重庆旅游局回应女子高空索道坠落,110018,社会热点-社会热点,,回应,,,
2020年06月27日11点数据,阿朵怒音,1469971,软新闻-娱乐圈,,,,,
2020年08月10日23点数据,杭州九价HPV,253835,软新闻-休闲,,,,,
2020年02月18日23点数据,下一站是幸福大结局,1113388,软新闻-娱乐圈,,,,,
2020年04月29日11点数据,迷你世界全网主动下架,540598,软新闻-娱乐圈,,,,,
2020年06月03日23点数据,幸福触手可及预告,420153,软新闻-娱乐圈,,,,,
2020年01月14日11点数据,笑哭成为全球最受欢迎表情,87311,软新闻-休闲,,,,,
2020年06月25日11点数据,李晓霞怀二胎,585781,软新闻-娱乐圈,,,,,
2020年05月18日23点数据,吉林市昌邑区上调为中风险,166143,社会热点-趋势,,,,,
2020年04月22日11点数据,苹果下半年将推出11英寸iPad Air,730693,软新闻-休闲,,,,,
2020年06月10日23点数据,钟南山李兰娟张文宏禁毒宣传片,1872100,政绩类-模范,,,,,
2020年03月14日23点数据,学生分批返校行李全面消毒,796408,软新闻-休闲,,,,,
2020年02月19日11点数据,世卫官员点赞中国返城复工疫情防控,505953,政绩类-模范,1,,,,
2020年11月06日11点数据,王子变青蛙主演重聚,1730221,软新闻-娱乐圈,,,,,
2020年07月04日11点数据,杜华烫嘴普通话,968705,软新闻-娱乐圈,,,,,
2020年09月14日11点数据,辽宁省考成绩,194736,软新闻-休闲,,,,,
2019年11月15日23点数据,香港经济状况急速恶化,2021130,国际新闻-香港问题,,,,,
2020年06月04日23点数据,欧洲疯抢中国自行车,163045,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年02月13日11点数据,一线医护的真实工作状态,119461,政绩类-模范,,,,,
2020年03月18日11点数据,陕西开学时间,1629456,社会政策-本地政策,,,,,
2020年08月27日23点数据,杨雁逼张鑫离婚,956751,软新闻-社会事件,,,,,
2019年12月14日23点数据,珍珠奶茶馒头,1118698,软新闻-休闲,,,,,
2020年08月10日23点数据,且听凤鸣,653258,软新闻-娱乐圈,,,,,
2020年08月20日11点数据,西安将日常节粮纳入学生素质评价,245989,社会政策-本地政策,,,,,
2020年08月10日23点数据,暴雨中男子用漏勺帮捞苹果,3217399,软新闻-休闲,,,,,
2020年01月04日11点数据,林志颖 十七岁的雨季,60818,软新闻-娱乐圈,,,,,
2020年10月21日11点数据,云南小伙花70万自制飞行服,327269,软新闻-休闲,,,,,
2020年11月10日11点数据,佟湘玉的爹和如来佛祖是同一演员,1007038,软新闻-娱乐圈,,,,,
2020年02月23日23点数据,完美关系,398138,软新闻-娱乐圈,,,,,
2020年11月17日23点数据,中央气象台三预警齐发,660715,软新闻-休闲,,,,,
2020年11月27日11点数据,奇迹暖暖,340612,软新闻-娱乐圈,,,,,
2020年03月24日11点数据,4地新增本土病例4例,686443,社会热点-趋势,1,,,,
2020年11月03日11点数据,新疆新增5例确诊,340709,社会热点-趋势,,,,,
2020年01月06日11点数据,北大博导获IEEE青年成就奖,104181,政绩类-模范,,,,,
2020年07月04日11点数据,陈伟霆 你是取笑我吗,1820726,软新闻-娱乐圈,,,,,
2020年06月11日23点数据,弗洛伊德,506633,软新闻-休闲,,,,,
2020年09月28日11点数据,黄龄摔下舞台后发文,291704,软新闻-娱乐圈,,,,,
2020年11月02日23点数据,广州恒大战胜北京国安,134386,软新闻-娱乐圈,,,,,
2019年11月24日11点数据,长沙一小区塑胶人工湖将铲除,270841,软新闻-休闲,,,,,
2020年02月13日11点数据,高秀贞死因,119519,软新闻-娱乐圈,,,,,
2020年07月22日23点数据,大连地铁3号线大连湾站封站,488044,社会政策-本地政策,,,,,
2020年07月21日23点数据,曾毅微博评论,1559858,软新闻-娱乐圈,,,,,
2020年01月17日11点数据,小年,801756,软新闻-休闲,,,,,
2020年02月10日11点数据,北京严格居住小区封闭式管理,1006386,社会政策-本地政策,,,,,
2020年12月31日23点数据,载同事回家意外致其死亡赔134万,816101,社会热点-社会热点,,,,,
2020年08月06日11点数据,上海开出首张控烟顶额罚单,168074,社会政策-本地政策,,,,,
2020年02月03日11点数据,最新疫情地图,1437417,社会热点-趋势,1,,,,
2020年12月20日23点数据,8岁女孩短道速滑起步摔跤却得冠军,267263,软新闻-社会怪事,,,,,
2020年04月22日11点数据,傅首尔童年曾为见妈妈喝洗洁精,469366,软新闻-娱乐圈,,,,,
2019年11月29日23点数据,你会下楼拿外卖吗,364957,软新闻-休闲,,,,,
2020年02月26日11点数据,世卫组织专家感谢中国教经验,236283,政绩类-爱国节日成就,,,,,
2020年01月16日11点数据,华为在英宣布两千万英镑投资计划,390086,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年04月05日11点数据,巴西新冠确诊病例过万,90762,国际新闻-国际新闻（与中国无关）,1,,,,
2020年09月11日23点数据,博主回应王府井狗不理包子报警,546266,社会热点-消费者权益,,回应,,,
2019年12月19日23点数据,郭德纲不知郭麒麟参演庆余年,1888247,软新闻-娱乐圈,,,,,
2020年03月02日11点数据,瓦妮莎呼吁严惩传播科比遗照的警察,3270920,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月29日11点数据,陈粒且慢,294418,软新闻-娱乐圈,,,,,
2020年10月28日11点数据,福建漳浦突发山火,117425,社会新闻-灾难,,,,,
2020年06月03日11点数据,金晨点赞于正微博,226225,软新闻-娱乐圈,,,,,
2020年04月03日23点数据,易烊千玺送过外卖,895778,软新闻-娱乐圈,,,,,
2020年05月24日11点数据,孟鹤堂曾毅跳女团舞,97691,软新闻-娱乐圈,,,,,
2019年11月17日11点数据,刘诗诗肖战中间隔着雷佳音,3291605,软新闻-娱乐圈,,,,,
2020年03月19日11点数据,最高人民检察院依法对徐光决定逮捕,280276,犯罪与审判,,,,,
2020年07月25日11点数据,民警冲洗筛查38车粪水发现人体组织,104636,犯罪与审判,,,,,
2020年09月19日11点数据,央视镜头下的鹿晗,1890432,软新闻-娱乐圈,,,,,
2020年02月05日11点数据,登贝莱受伤,134898,软新闻-娱乐圈,,,,,
2020年09月04日23点数据,宁静组李斯丹妮组成团名额,851427,软新闻-娱乐圈,,,,,
2020年11月28日11点数据,日本将受理中日快捷通道申请,91485,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年07月08日23点数据,消防员洪涝中救被困狗狗,201956,社会热点-社会热点,,,,,
2020年07月26日11点数据,路威请假去夜店遭调查,1137192,软新闻-社会怪事,,,,,
2020年05月11日11点数据,彭斯发言人否认彭斯将自我隔离,871232,国际新闻-国际新闻（与中国无关）,1,,,,
2020年08月11日11点数据,硬糖少女首张EP,340496,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月29日23点数据,压倒王俊凯的最后一个雪球,560620,软新闻-娱乐圈,,,,,
2020年07月18日11点数据,江西鄱阳中洲圩决口合龙,200522,软新闻-休闲,,,,,
2020年09月20日11点数据,日方表示领导人绝对不会通话蔡英文,157015,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月20日23点数据,酒鬼酒被举报非法添加甜蜜素,213130,社会热点-消费者权益,,,,,
2019年12月19日23点数据,00后温州女孩参加商业大会,497528,软新闻-休闲,,,,,
2020年12月30日11点数据,黎智英已辞任壹传媒董事会主席,266352,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月05日23点数据,王一博胡兵拔鼻毛,274586,软新闻-娱乐圈,,,,,
2020年02月06日23点数据,回家后怎么消毒,1579472,软新闻-休闲,,,,,
2020年03月16日11点数据,赵志伟 没恋爱没出轨,2404374,软新闻-娱乐圈,,,,,
2020年08月03日23点数据,曜FMVP皮肤,446632,软新闻-娱乐圈,,,,,
2020年07月07日23点数据,内蒙古发现3个鼠疫疫点,4131155,社会新闻-灾难,1,,,,
2020年07月11日23点数据,抗美援朝老战士病房里捐出40万积蓄,221663,政绩类-模范,,,,,
2020年09月10日23点数据,大狗厂牌 全民制躁,1592792,软新闻-休闲,,,,,
2020年06月17日11点数据,刘涛直播,166312,软新闻-娱乐圈,,,,,
2019年11月21日23点数据,王子文醉酒撒娇,706861,软新闻-娱乐圈,,,,,
2020年04月21日23点数据,英国女王举行视频生日派对,1301213,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月02日23点数据,鼓励开发科研助理岗吸纳高校毕业生,211876,社会热点-社会热点,,,,,
2020年01月11日23点数据,非诚勿扰,559659,软新闻-娱乐圈,,,,,
2020年01月08日23点数据,小时候流行过哪些顺口溜,153667,软新闻-休闲,,,,,
2020年07月22日23点数据,穿越火线代入感,179906,软新闻-娱乐圈,,,,,
2020年08月24日23点数据,伊能静的语言艺术,637151,软新闻-娱乐圈,,,,,
2020年11月30日11点数据,一鸣惊人的旅游文案,168415,软新闻-休闲,,,,,
2020年03月17日23点数据,外交部回应美称要转移医疗供应链,776091,国际新闻-中美关系,,回应,,,
2020年07月28日11点数据,多地中考成绩陆续出炉,565342,软新闻-休闲,,,,,
2020年08月04日23点数据,曾可妮给林书豪打call,700192,软新闻-娱乐圈,,,,,
2019年11月16日11点数据,张柏芝再现河东狮吼,1250576,软新闻-娱乐圈,,,,,
2020年04月30日11点数据,宋茜薇娅模仿王耀庆跳舞,170194,软新闻-娱乐圈,,,,,
2020年12月22日23点数据,美国将58家中国机构列入军事最终用户清单,932577,国际新闻-中美关系,,,,,
2019年12月14日11点数据,上海检出多批不合格耳机,1822476,社会热点-消费者权益,,,,,
2020年08月05日23点数据,方媛回复网友,366717,软新闻-娱乐圈,,回复,,,
2020年12月05日11点数据,韩美娟确认参加创4,415455,软新闻-娱乐圈,,,,,
2020年12月04日11点数据,直播带货三天卖出130万元假口红,875268,社会热点-消费者权益,,,,,
2020年03月05日11点数据,北京新增1例新冠肺炎,748904,社会热点-趋势,,,,,
2020年07月22日23点数据,公司修改Yamy后援会账号密码,413983,软新闻-娱乐圈,,,,,
2019年11月26日11点数据,变身怪医卡司,141367,软新闻-娱乐圈,,,,,
2020年08月03日11点数据,20岁女兵征服40吨远火车,1069958,政绩类-模范,,,,,
2020年01月15日23点数据,故宫取消年夜饭,3486348,社会热点-社会热点,,,,,
2020年07月29日11点数据,紧那罗,147799,软新闻-娱乐圈,,,,,
2020年06月23日11点数据,山东理工将努力帮被顶替者陈春秀读书,356838,社会热点-社会热点,,,,,
2020年01月30日23点数据,疫情过后你最想见的人,388277,软新闻-休闲,1,,,,
2020年11月12日23点数据,腾讯员工平均月薪7.6万,468373,社会热点-趋势,,,,,
2019年11月21日11点数据,杜江的叮嘱霍思燕全部屏蔽,447697,软新闻-娱乐圈,,,,,
2020年06月20日11点数据,仝卓微博认证,2646223,软新闻-娱乐圈,,,,,
2020年10月19日11点数据,光明乳业回应广告被处罚,229988,社会热点-经济,,回应,,,
2020年03月09日11点数据,葡萄牙总统因新冠疫情将主动接受隔离,3249931,国际新闻-国际新闻（与中国无关）,1,,,,
2020年07月19日23点数据,阿云嘎 清河诀,418809,软新闻-娱乐圈,,,,,
2020年03月07日23点数据,万物皆可水煮,672190,软新闻-休闲,,,,,
2019年11月27日11点数据,为母校捐赠10头猪,269602,软新闻-休闲,,,,,
2020年11月08日23点数据,洋葱碎流心蛋拌饭,187872,软新闻-休闲,,,,,
2020年07月21日11点数据,具惠善签约新公司,389243,软新闻-娱乐圈,,,,,
2019年11月15日23点数据,中国第一剪傅正义逝世,94444,政绩类-模范,,,,,
2020年08月18日23点数据,离人心上,231876,软新闻-娱乐圈,,,,,
2020年04月02日23点数据,亚马逊雨林原始部落出现确诊病例,338147,国际新闻-国际新闻（与中国无关）,1,,,,
2020年07月05日11点数据,跨界歌王,1979638,软新闻-娱乐圈,,,,,
2020年01月16日23点数据,醉驾玛莎拉蒂致2死案开庭,128632,犯罪与审判,,,,,
2020年11月04日11点数据,女孩与昔日班主任成为同事,519613,软新闻-休闲,,,,,
2020年04月28日23点数据,张家辉出演电影731,317233,软新闻-娱乐圈,,,,,
2020年01月20日11点数据,上海加强对可疑病例筛查,195371,社会政策-本地政策,1,,,,
2019年12月16日23点数据,李兰迪剧照截图对比,468157,软新闻-娱乐圈,,,,,
2020年02月11日11点数据,不要宣传老人捐款了,1853868,软新闻-休闲,,,,,
2020年01月17日23点数据,区委书记大会上怒斥干部,274109,政绩类-模范,,,,,
2020年06月26日23点数据,新发地市场任命新任总经理,284588,社会热点-社会热点,,,,,
2020年02月01日23点数据,武汉红十字会存在调拨不及时问题,278498,社会热点-丑闻,,,,,
2020年03月27日23点数据,白岩松连线武磊,573883,软新闻-娱乐圈,,,,,
2020年10月04日23点数据,公安部派工作组赴吉林松原,1015835,社会热点-社会热点,,,,,
2020年10月11日23点数据,李佳琦双十一预告,556679,软新闻-休闲,,,,,
2019年12月29日11点数据,朋友圈最让人反感的行为,852776,软新闻-休闲,,,,,
2020年07月29日11点数据,邓稼先逝世34周年,154493,政绩类-模范,,,,,
2020年04月10日11点数据,与死神擦肩而过的经历,231376,软新闻-休闲,,,,,
2020年06月20日23点数据,王俊凯发长文告别我们的乐队,486888,软新闻-娱乐圈,,,,,
2020年03月12日23点数据,哥伦比亚进入公共卫生紧急状态,392631,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月28日11点数据,冬天的贝加尔湖,172511,软新闻-休闲,,,,,
2020年01月15日23点数据,姐姐结婚那天弟弟有多难过,315698,软新闻-休闲,,,,,
2020年10月13日23点数据,哈尔滨下雪了,292270,软新闻-休闲,,,,,
2020年01月22日23点数据,三生三世枕上书,1636260,软新闻-娱乐圈,,,,,
2020年09月10日11点数据,苹果口罩,114430,软新闻-休闲,,,,,
2020年11月24日11点数据,马斯克超盖茨成全球第二大富豪,259742,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月11日11点数据,印度当街烧新冠病毒怪物塑像,1260490,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月14日23点数据,中餐厅,189372,软新闻-娱乐圈,,,,,
2020年11月04日11点数据,为什么要让蓝楠下线,561658,软新闻-娱乐圈,,,,,
2020年03月29日23点数据,西班牙街头的鸽子没人喂了,519540,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月19日23点数据,官方回应武则天她妈在钦州研究组,479311,社会热点-社会热点,,回应,,,
2020年12月16日11点数据,张靓颖刘宇宁 有翡片尾曲,1327673,软新闻-娱乐圈,,,,,
